,original,first_digit,second_digit
13,"2,750.00",2,7
19,"21,757.93",2,1
32,257.50,2,5
34,27.03,2,7
35,212.01,2,1
42,"2,515.38",2,5
47,"21,814.06",2,1
49,"21,407.49",2,1
51,"22,260.94",2,2
77,211.53,2,1
84,"2,891.79",2,8
107,249.58,2,4
140,"2,500.00",2,5
156,"26,323.95",2,6
160,"2,379.80",2,3
162,250.00,2,5
172,"25,310.13",2,5
183,277.68,2,7
192,"20,729.72",2,0
196,"28,034.39",2,8
213,246.19,2,4
219,245.00,2,4
221,276.81,2,7
224,297.07,2,9
225,20.51,2,0
231,"24,604.25",2,4
236,"2,150.00",2,1
258,"2,661.89",2,6
266,"26,884.00",2,6
267,"29,977.12",2,9
268,"2,211.82",2,2
270,"29,234.66",2,9
277,253.60,2,5
287,230.86,2,3
293,224.87,2,2
297,291.55,2,9
305,"29,377.75",2,9
314,"26,258.11",2,6
324,25.40,2,5
329,233.59,2,3
332,"2,157.72",2,1
333,293.24,2,9
351,"23,149.51",2,3
358,"2,000.00",2,0
367,"24,887.04",2,4
383,205.88,2,0
392,"29,993.72",2,9
394,"29,657.88",2,9
395,"26,372.62",2,6
400,200.00,2,0
408,"2,990.57",2,9
411,25.00,2,5
433,"2,260.00",2,2
469,"20,665.09",2,0
478,"21,476.50",2,1
481,"2,800.00",2,8
487,296.60,2,9
496,"24,038.52",2,4
497,"26,726.19",2,6
498,"20,169.91",2,0
500,"28,327.50",2,8
515,"23,634.95",2,3
529,"2,649.65",2,6
538,"2,051.87",2,0
540,267.82,2,6
552,"24,710.27",2,4
564,"2,741.27",2,7
575,26.77,2,6
579,297.71,2,9
583,"20,222.54",2,0
589,"20,665.99",2,0
592,"23,500.33",2,3
602,295.95,2,9
606,227.69,2,2
614,"2,616.88",2,6
647,294.15,2,9
653,"25,370.11",2,5
659,"26,899.00",2,6
667,"2,393.39",2,3
681,272.77,2,7
695,"2,366.70",2,3
700,249.73,2,4
702,"2,208.26",2,2
707,"2,777.96",2,7
714,"28,452.46",2,8
722,"26,387.58",2,6
724,"20,297.84",2,0
745,"2,569.67",2,5
749,"25,278.43",2,5
753,"2,967.12",2,9
770,"22,936.64",2,2
802,208.50,2,0
807,"23,017.18",2,3
820,"27,000.00",2,7
838,"26,301.55",2,6
843,"22,323.50",2,2
857,"22,242.42",2,2
863,"2,546.46",2,5
883,"23,748.40",2,3
898,"22,473.04",2,2
909,237.56,2,3
910,211.55,2,1
928,"25,000.18",2,5
930,"24,724.78",2,4
933,"25,717.75",2,5
942,"2,606.17",2,6
948,274.00,2,7
949,214.56,2,1
950,212.91,2,1
957,"2,590.00",2,5
970,"23,212.33",2,3
971,"20,955.51",2,0
972,26.00,2,6
989,23.57,2,3
1004,"22,856.61",2,2
1008,293.76,2,9
1010,"2,839.25",2,8
1012,205.00,2,0
1019,"22,478.70",2,2
1031,"23,423.18",2,3
1036,219.98,2,1
1042,200.95,2,0
1044,251.04,2,5
1049,"22,735.50",2,2
1054,279.02,2,7
1064,"26,338.99",2,6
1066,"2,411.05",2,4
1068,"24,107.07",2,4
1070,"27,287.72",2,7
1081,"2,616.18",2,6
1086,"20,084.16",2,0
1092,"2,830.20",2,8
1094,264.74,2,6
1102,"21,807.80",2,1
1103,"29,866.50",2,9
1106,"2,388.00",2,3
1142,"27,684.69",2,7
1163,216.63,2,1
1164,"27,633.38",2,7
1170,"20,222.85",2,0
1171,"25,292.13",2,5
1172,"2,550.00",2,5
1202,"2,592.53",2,5
1205,"26,955.52",2,6
1206,"2,216.76",2,2
1215,234.82,2,3
1218,"2,833.42",2,8
1230,"-2,550.00",2,5
1234,"20,462.02",2,0
1236,266.42,2,6
1246,"2,553.73",2,5
1255,22.55,2,2
1256,"2,502.53",2,5
1257,"22,044.80",2,2
1258,"26,445.65",2,6
1260,"22,036.47",2,2
1262,"26,174.27",2,6
1264,"20,740.98",2,0
1277,"2,451.76",2,4
1301,"26,852.83",2,6
1304,"23,019.45",2,3
1311,224.14,2,2
1318,"2,697.75",2,6
1322,276.50,2,7
1338,"20,083.60",2,0
1341,"2,143.50",2,1
1342,"23,380.90",2,3
1343,"22,455.23",2,2
1354,"21,967.72",2,1
1361,239.44,2,3
1365,257.00,2,5
1374,"2,224.53",2,2
1382,"26,064.16",2,6
1386,"20,111.72",2,0
1397,"22,073.92",2,2
1398,"2,328.85",2,3
1399,"2,006.42",2,0
1401,24.64,2,4
1403,"2,667.48",2,6
1415,296.37,2,9
1417,252.86,2,5
1420,"2,705.47",2,7
1422,"22,926.79",2,2
1423,"24,755.40",2,4
1429,"20,792.91",2,0
1452,"28,773.27",2,8
1455,274.08,2,7
1472,"25,379.02",2,5
1476,"24,478.41",2,4
1483,"2,190.50",2,1
1520,"27,950.20",2,7
1525,"22,919.48",2,2
1527,"21,603.00",2,1
1563,"2,450.00",2,4
1583,239.98,2,3
1594,214.99,2,1
1597,"2,226.33",2,2
1601,"2,225.72",2,2
1602,202.70,2,0
1606,"26,859.91",2,6
1607,"26,400.77",2,6
1631,217.42,2,1
1633,214.90,2,1
1651,"26,879.91",2,6
1663,"2,055.66",2,0
1676,"21,369.00",2,1
1682,"27,582.78",2,7
1689,"25,863.17",2,5
1696,"2,184.00",2,1
1707,"2,094.13",2,0
1712,25.61,2,5
1718,"22,950.00",2,2
1738,"26,475.09",2,6
1755,289.58,2,8
1757,"23,285.40",2,3
1765,262.50,2,6
1766,"2,850.14",2,8
1771,"2,201.35",2,2
1774,"2,338.59",2,3
1786,"20,507.73",2,0
1788,"23,184.71",2,3
1796,"2,250.00",2,2
1817,"2,080.55",2,0
1818,"2,421.90",2,4
1821,277.93,2,7
1827,"25,050.43",2,5
1831,"22,288.43",2,2
1860,230.00,2,3
1884,"23,888.70",2,3
